Entity ID,Vehicle ID,Trip ID,Route ID,Start Time,Start Date,Schedule Relationship,Latitude,Longitude,Speed,Timestamp
DL1PD1538,DL1PD1538,1596_15_31,1596,15:31:33,20250401,1,28.548641204833984,77.25604248046875,0.0,1743501199
DL1PD0030,DL1PD0030,1596_13_0,1596,13:00:19,20250401,1,28.611799240112305,77.03368377685547,0.0,1743501230
DL1PD1012,DL1PD1012,178_10_51,178,10:51:51,20250401,1,28.626079559326172,77.06541442871094,0.0,1743501245
DL1PD4514,DL1PD4514,1818_15_7,1818,15:07:05,20250401,1,28.809995651245117,77.13703918457031,0.0,1743501279
DL1PD4301,DL1PD4301,1045_13_46,1045,13:46:49,20250401,1,28.642559051513672,77.22396850585938,0.0,1743501336
DL1PD5591,DL1PD5591,2026_15_29,2026,15:29:24,20250401,1,28.824569702148438,77.0689468383789,0.0,1743501344
DL1PD5661,DL1PD5661,343_15_15,343,15:15:14,20250401,1,28.702341079711914,77.2790298461914,0.0,1743501344
DL1PD5408,DL1PD5408,1722_14_58,1722,14:58:45,20250401,1,28.711271286010742,77.13733673095703,0.0,1743501374
DL1PD1060,DL1PD1060,1200_15_23,1200,15:23:23,20250401,1,28.684284210205078,77.33125305175781,0.0,1743501411
DL1PD1034,DL1PD1034,767_11_37,767,11:37:57,20250401,1,28.619998931884766,77.0375747680664,0.0,1743501432
DL1PD5169,DL1PD5169,668_14_58,668,14:58:45,20250401,1,28.64335823059082,77.22616577148438,0.0,1743501436
DL1PD1197,DL1PD1197,687_15_24,687,15:24:16,20250401,1,28.606964111328125,76.98583984375,0.0,1743501444
DL1PD4360,DL1PD4360,714_13_38,714,13:38:40,20250401,1,28.660158157348633,77.22663116455078,0.0,1743501467
DL1PD4343,DL1PD4343,1151_14_2,1151,14:02:36,20250401,1,28.644868850708008,77.19398498535156,0.0,1743501470
DL1PD0654,DL1PD0654,10907_15_31,10907,15:31:33,20250401,1,28.620824813842773,76.93086242675781,0.0,1743501477
DL1PD1027,DL1PD1027,5266_14_44,5266,14:44:35,20250401,1,28.58865737915039,77.17021942138672,0.0,1743501486
DL1PD1310,DL1PD1310,142_13_56,142,13:56:35,20250401,1,28.529266357421875,76.88107299804688,0.0,1743501509
DL1PD4245,DL1PD4245,1411_14_18,1411,14:18:22,20250401,1,28.62596893310547,77.06553649902344,0.0,1743501518
DL1PD4199,DL1PD4199,784_13_48,784,13:48:26,20250401,1,28.66008758544922,77.22921752929688,0.0,1743501533
DL1PD0221,DL1PD0221,10112_11_47,10112,11:47:47,20250401,1,28.617353439331055,77.03182983398438,0.0,1743501544
DL1PD0270,DL1PD0270,1832_14_11,1832,14:11:16,20250401,1,28.7971134185791,77.13938903808594,0.0,1743501547
DL1PD4423,DL1PD4423,10511_15_24,10511,15:24:16,20250401,1,28.70387840270996,77.1305160522461,0.0,1743501563
DL1PD0620,DL1PD0620,2015_14_36,2015,14:36:48,20250401,1,28.61920928955078,77.03104400634766,0.0,1743501570
DL1PD0627,DL1PD0627,920_14_36,920,14:36:48,20250401,1,28.678985595703125,77.09986877441406,0.0,1743501586
DL1PD4760,DL1PD4760,2046_13_15,2046,13:15:14,20250401,1,28.5624942779541,76.84310913085938,0.0,1743501590
DL1PD4543,DL1PD4543,55_15_14,55,15:14:10,20250401,1,28.61307716369629,77.10942840576172,0.0,1743501618
DL1PD6285,DL1PD6285,233_14_17,233,14:17:29,20250401,1,28.696847915649414,77.09619903564453,0.0,1743501624
DL51GD1715,DL51GD1715,10860_15_30,10860,15:30:28,20250401,1,28.664222717285156,77.25608825683594,0.0,1743501637
DL1PD1448,DL1PD1448,92_14_58,92,14:58:45,20250401,1,28.69746208190918,77.22077178955078,0.0,1743501640
DL1PD0862,DL1PD0862,651_15_31,651,15:31:33,20250401,1,28.608814239501953,76.9445571899414,0.0,1743501644
DL1PD5568,DL1PD5568,10961_15_4,10961,15:04:57,20250401,1,28.66741371154785,77.13777923583984,0.0,1743501652
DL1PC6729,DL1PC6729,10529_15_30,10529,15:30:29,20250401,1,28.667133331298828,77.2092056274414,0.0,1743501655
